2024-12-26 15:51:23.086 Starting PingApplication using Java 17.0.12 with PID 24948 (C:\code\hbsc\ping\target\classes started by joech in C:\code\hbsc)
2024-12-26 15:51:23.088 No active profile set, falling back to 1 default profile: "default"
2024-12-26 15:51:23.639 Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-26 15:51:23.641 Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-26 15:51:23.672 Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2024-12-26 15:51:24.762 Netty started on port 8083
2024-12-26 15:51:24.772 Started PingApplication in 2.056 seconds (process running for 2.567)
2024-12-26 15:51:25.793 Request 0 not sent as being 'ping rate limited'
2024-12-26 15:51:26.790 Request 1 not sent as being 'ping rate limited'
2024-12-26 15:51:27.788 Request 2 not sent as being 'ping rate limited'
2024-12-26 15:51:28.792 Request 3 not sent as being 'ping rate limited'
2024-12-26 15:51:29.789 Request 4 not sent as being 'ping rate limited'
2024-12-26 15:51:30.803 Request 5 not sent as being 'ping rate limited'
2024-12-26 15:51:31.799 Request 6 not sent as being 'ping rate limited'
2024-12-26 15:51:32.794 Request 7 not sent as being 'ping rate limited'
2024-12-26 15:51:33.794 Request 8 not sent as being 'ping rate limited'
2024-12-26 15:51:34.791 Request 9 not sent as being 'ping rate limited'
2024-12-26 15:51:35.795 Request 10 not sent as being 'ping rate limited'
2024-12-26 15:51:36.793 Request 11 not sent as being 'ping rate limited'
2024-12-26 15:51:37.795 Request 12 not sent as being 'ping rate limited'
2024-12-26 15:51:38.789 Request 13 not sent as being 'ping rate limited'
2024-12-26 15:51:39.791 Request 14 not sent as being 'ping rate limited'
2024-12-26 15:51:40.792 Request 15 not sent as being 'ping rate limited'
2024-12-26 15:51:41.801 Request 16 not sent as being 'ping rate limited'
2024-12-26 15:51:42.789 Request 17 not sent as being 'ping rate limited'
2024-12-26 15:51:43.790 Request 18 not sent as being 'ping rate limited'
2024-12-26 15:51:44.801 Request 19 not sent as being 'ping rate limited'
2024-12-26 15:51:45.801 Request 20 not sent as being 'ping rate limited'
2024-12-26 15:51:46.802 Request 21 not sent as being 'ping rate limited'
2024-12-26 15:51:47.801 Request 22 not sent as being 'ping rate limited'
2024-12-26 15:51:48.799 Request 23 not sent as being 'ping rate limited'
2024-12-26 15:51:49.796 Request 24 not sent as being 'ping rate limited'
2024-12-26 15:51:50.796 Request 25 not sent as being 'ping rate limited'
2024-12-26 15:51:51.797 Request 26 not sent as being 'ping rate limited'
2024-12-26 15:51:52.802 Request 27 not sent as being 'ping rate limited'
2024-12-26 15:51:53.796 Request 28 not sent as being 'ping rate limited'
2024-12-26 15:51:54.794 Request 29 not sent as being 'ping rate limited'
2024-12-26 15:51:55.798 Request 30 not sent as being 'ping rate limited'
2024-12-26 15:51:56.796 Request 31 not sent as being 'ping rate limited'
2024-12-26 15:51:57.801 Request 32 not sent as being 'ping rate limited'
2024-12-26 15:51:58.798 Request 33 not sent as being 'ping rate limited'
2024-12-26 15:51:59.797 Request 34 not sent as being 'ping rate limited'
2024-12-26 15:52:00.799 Request 35 not sent as being 'ping rate limited'
2024-12-26 15:52:01.798 Request 36 not sent as being 'ping rate limited'
2024-12-26 15:52:02.797 Request 37 not sent as being 'ping rate limited'
2024-12-26 15:52:03.793 Request 38 not sent as being 'ping rate limited'
2024-12-26 15:52:04.793 Request 39 not sent as being 'ping rate limited'
2024-12-26 15:52:05.799 Request 40 not sent as being 'ping rate limited'
2024-12-26 15:52:06.799 Request 41 not sent as being 'ping rate limited'
2024-12-26 15:52:07.795 Request 42 not sent as being 'ping rate limited'
2024-12-26 15:52:08.797 Request 43 not sent as being 'ping rate limited'
